supConstruida,terreno,title,valorCLP,valorUF,x,y
35,35,Metro Santa Isabel Portugal,300000,10,-33.44764,-70.63528
45,47,Santo Domingo // Amunategui // Metro Sta Ana,300000,10,-33.43695,-70.65650
30,30,Ricardo Cumming 1350,299000,10,-33.43024,-70.66942
45,45,Catedral - Departamento 2596,300000,10,-33.43783,-70.65045
30,36,Metro Santa Lucía,293511,10,-33.44735,-70.64682
30,32,Avenida Portugal 415 - Departamento 509,300000,10,-33.44734,-70.63570
21,21,GENERAL GANA 1063,245000,8,-33.47096,-70.64791
40,40,Barrio Victoria,295000,10,-33.46467,-70.64684
28,31,Moneda  1617,29000,1,-33.44277,-70.65929
22,22,Fray Camilo Henríquez 440,240000,8,-33.44731,-70.63453
22,22,Eyzaguirre 766,240000,8,-33.45214,-70.64602
23,23,Avenida Santa Rosa 325 - Departamento 312,240000,8,-33.44857,-70.64522
32,35,Presidente Balmaceda 2170,270000,9,-33.42983,-70.66750
35,38,sargento aldea  1156 - Departamento 1408,270000,9,-33.46878,-70.64907
26,26,"Metro Sta. Ana y Cal y Canto, Barrio Dieciocho",280000,10,-33.43323,-70.65973
30,30,MARIO KREUTZBERGER 1520,265000,9,-33.43608,-70.65893
37,37,Metro Los Heroes,280000,10,-33.44770,-70.66054
30,30,General Gana 1063,280000,10,-33.47096,-70.64791
32,32,Metro Moneda,280000,10,-33.44693,-70.65502
30,30,SAN ISIDRO 234 513,280000,10,-33.46912,-70.64200
36,36,Amunátegui 630 - Departamento 1609,280000,10,-33.43640,-70.65742
30,30,San Diego  895,280000,10,-33.45674,-70.64979
36,36,Amunátegui 620 - Departamento 2306,280000,10,-33.43640,-70.65742
38,38,San Diego  895,280000,10,-33.45674,-70.64979
30,30,San Diego 895 - Departamento piso11,280000,10,-33.45674,-70.64979
30,30,EYZAGUIRRE 766,280000,10,-33.45214,-70.64602
30,32,metro Bellas Arte,280000,10,-33.43768,-70.64715
38,38,Porvenir  1017,280000,10,-33.45761,-70.64805
30,34,Portugal 968,280000,10,-33.46912,-70.64200
26,26,METRO SANTA LUCIA SAN ISIDRO  234 - Departamento 21,280000,10,-33.44254,-70.64515
32,37,ALMIRANTE LATORRE / METRO TOESCA,281211,10,-33.45378,-70.66417
30,32,Enrique Mac Iver 524,280000,10,-33.43662,-70.64735
26,26,METRO SANTA LUCIA SAN ISIDRO  234 - Departamento 25,280000,10,-33.44643,-70.64356
38,38,General Mackenna  1490,280000,10,-33.43339,-70.65846
31,31,Fray Camilo Henríquez,280000,10,-33.44750,-70.63460
35,35,San Pablo  / San Martin,280000,10,-33.43420,-70.65890
38,38,Tarapacá / Nataniel Cox,280000,10,-33.44803,-70.65386
35,35,Blanco encalada 1797,280000,10,-33.45643,-70.65945
30,62,METRO PARQUE ALMAGRO,280000,10,-33.44897,-70.64875
